dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,sgd,10,0.33330128205128207
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,sgd,25,0.33330128205128207
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,sgd,50,0.33330128205128207
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,rmsprop,10,0.8452796501508708
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,rmsprop,25,0.8367205390416027
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,relu,rmsprop,50,0.8549282519276783
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,adam,10,0.859271703874874
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,adam,25,0.8680662301490969
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,adam,50,0.8519759971127193
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,sgd,10,0.30690115518744554
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,sgd,25,0.38941849816849816
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,sgd,50,0.4232814237257759
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,rmsprop,10,0.8559755058705711
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,rmsprop,25,0.8536250113860762
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.01,tanh,rmsprop,50,0.8424726850623914
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,adam,10,0.8435126714304191
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,adam,25,0.8498540451619053
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,adam,50,0.8590697197135023
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,sgd,10,0.4666185897435898
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,sgd,25,0.32916666666666666
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,sgd,50,0.47281485671191553
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,rmsprop,10,0.33474358974358975
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,rmsprop,25,0.5343108974358974
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,relu,rmsprop,50,0.5989102564102564
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,adam,10,0.8596336223099035
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,adam,25,0.8561194962588152
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,adam,50,0.8444354133026902
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,sgd,10,0.3465613553113553
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,sgd,25,0.8247861567379797
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,sgd,50,0.8556969142051987
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,rmsprop,10,0.778253615010041
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,rmsprop,25,0.8273998154208974
1_ef_b.csv,"[15, 15, 15, 15, 15]",0.1,tanh,rmsprop,50,0.8509878058837668
1_nrml_b.csv,[15],0.001,relu,adam,10,0.473738344988345
1_nrml_b.csv,[15],0.001,relu,adam,25,0.746145189585069
1_nrml_b.csv,[15],0.001,relu,adam,50,0.7871256192513426
1_nrml_b.csv,[15],0.001,relu,sgd,10,0.5784310553266759
1_nrml_b.csv,[15],0.001,relu,sgd,25,0.4671668252168827
1_nrml_b.csv,[15],0.001,relu,sgd,50,0.36711357907788583
1_nrml_b.csv,[15],0.001,relu,rmsprop,10,0.7825298528451804
1_nrml_b.csv,[15],0.001,relu,rmsprop,25,0.870453779165338
1_nrml_b.csv,[15],0.001,relu,rmsprop,50,0.8962599990948407
1_nrml_b.csv,[15],0.001,tanh,adam,10,0.566434374942441
1_nrml_b.csv,[15],0.001,tanh,adam,25,0.6531326733825098
1_nrml_b.csv,[15],0.001,tanh,adam,50,0.8576864924287129
1_nrml_b.csv,[15],0.001,tanh,sgd,10,0.5558056165824954
1_nrml_b.csv,[15],0.001,tanh,sgd,25,0.41780107287096674
1_nrml_b.csv,[15],0.001,tanh,sgd,50,0.4700487626826585
1_nrml_b.csv,[15],0.001,tanh,rmsprop,10,0.8485091605654999
1_nrml_b.csv,[15],0.001,tanh,rmsprop,25,0.8993650818835164
1_nrml_b.csv,[15],0.001,tanh,rmsprop,50,0.885477064216429
1_nrml_b.csv,[15],0.01,relu,adam,10,0.8611869772739338
1_nrml_b.csv,[15],0.01,relu,adam,25,0.8968353072388746
1_nrml_b.csv,[15],0.01,relu,adam,50,0.9291729860334511
1_nrml_b.csv,[15],0.01,relu,sgd,10,0.481184871663977
1_nrml_b.csv,[15],0.01,relu,sgd,25,0.5469326000426561
